true_pc,mean_pc,ci_pc_1,ci_pc_2,mean_n4,ci_n4_1,ci_n4_2,mean_cd4_cd4,ci_44_1,ci_44_2
0.9151860764850289,0.9146602693827315,0.9118973467804741,0.9174231919849889,371.8422049779327,371.27573693095576,372.4086730249096,336.68,335.5348006806065,337.8251993193935
0.91,0.9098689703136155,0.9069635786202616,0.9127743620069694,371.8585231941627,371.28001304544364,372.4370333428817,334.72,333.53245323307885,335.9075467669212
0.9,0.8991919639240826,0.896094108453528,0.9022898193946373,372.0749644146618,371.4461526747383,372.7037761545853,330.5,329.2868036338408,331.7131963661592
0.89,0.8897500864961124,0.8864107195854982,0.8930894534067266,371.97404678957514,371.24685775801026,372.70123582114,326.52,325.2030702463574,327.83692975364255
0.88,0.8807921578282517,0.8774009798521447,0.8841833358043587,371.72238241062007,370.9710507119024,372.4737141093377,322.63,321.2548154791798,324.0051845208202
0.87,0.8708558196197259,0.8673518149791676,0.8743598242602842,371.88360015992527,371.1113777181092,372.6558226017413,318.66,317.27571731710646,320.0442826828936
0.86,0.860928909210431,0.8573727277263189,0.864485090694543,372.10990689390985,371.2233927830642,372.9964210047555,314.74,313.3285760641753,316.1514239358247
0.85,0.8520780455689638,0.8484682070001965,0.8556878841377311,372.09249522534805,371.13539653730135,373.04959391339474,311.06,309.668953830031,312.451046169969
0.84,0.8414512886738437,0.8377280729933354,0.8451745043543519,372.3585061497946,371.33791339985885,373.37909889973037,306.85,305.4795315668569,308.22046843314314
0.83,0.8311413530878587,0.8273903180493247,0.8348923881263928,372.7069054822085,371.62942432579484,373.7843866386222,302.83,301.46573232636496,304.194267673635
0.82,0.8218520331276428,0.818036110693151,0.8256679555621346,372.5453247286353,371.43291504743524,373.65773440983537,298.8787878787879,297.43007765221677,300.327498105359
0.8099999999999999,0.8119584256141484,0.8079740463222156,0.8159428049060813,372.7332152143756,371.5711279442435,373.8953024845077,294.8979591836735,293.4041570716075,296.3917612957395
